Protein ID,GO ID,Category,Description
Q96ME1,GO:0005829,Cellular Component,cytosol
Q96ME1,GO:0019005,Cellular Component,SCF ubiquitin ligase complex
Q96ME1,GO:0031146,Biological Process,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
O43734,GO:0005737,Cellular Component,cytoplasm
O43734,GO:0031410,Cellular Component,cytoplasmic vesicle
O43734,GO:0031234,Cellular Component,extrinsic component of cytoplasmic side of plasma membrane
O43734,GO:0005634,Cellular Component,nucleus
O43734,GO:0005102,Molecular Function,signaling receptor binding
O43734,GO:0061630,Molecular Function,ubiquitin protein ligase activity
O43734,GO:0002344,Biological Process,B cell affinity maturation
O43734,GO:0001783,Biological Process,B cell apoptotic process
O43734,GO:0001782,Biological Process,B cell homeostasis
O43734,GO:0023035,Biological Process,CD40 signaling pathway
O43734,GO:1990959,Biological Process,eosinophil homeostasis
O43734,GO:0002447,Biological Process,eosinophil mediated immunity
O43734,GO:0001768,Biological Process,establishment of T cell polarity
O43734,GO:0007507,Biological Process,heart development
O43734,GO:0006959,Biological Process,humoral immune response
O43734,GO:0006954,Biological Process,inflammatory response
O43734,GO:0097400,Biological Process,interleukin-17-mediated signaling pathway
O43734,GO:0038173,Biological Process,interleukin-17A-mediated signaling pathway
O43734,GO:0035556,Biological Process,intracellular signal transduction
O43734,GO:0001822,Biological Process,kidney development
O43734,GO:0002269,Biological Process,leukocyte activation involved in inflammatory response
O43734,GO:0048535,Biological Process,lymph node development
O43734,GO:0048255,Biological Process,mRNA stabilization
O43734,GO:0070254,Biological Process,mucus secretion
O43734,GO:0042119,Biological Process,neutrophil activation
O43734,GO:0043123,Biological Process,positive regulation of canonical NF-kappaB signal transduction
O43734,GO:0002230,Biological Process,positive regulation of defense response to virus by host
O43734,GO:0006606,Biological Process,protein import into nucleus
O43734,GO:0070534,Biological Process,protein K63-linked ubiquitination
O43734,GO:0110012,Biological Process,protein localization to P-body
O43734,GO:0009410,Biological Process,response to xenobiotic stimulus
O43734,GO:0023019,Biological Process,signal transduction involved in regulation of gene expression
O43734,GO:0043588,Biological Process,skin development
O43734,GO:0048536,Biological Process,spleen development
O43734,GO:0030217,Biological Process,T cell differentiation
O43734,GO:0072538,Biological Process,T-helper 17 type immune response
O43734,GO:0002334,Biological Process,transitional two stage B cell differentiation
O43734,GO:0033209,Biological Process,tumor necrosis factor-mediated signaling pathway
O43734,GO:0042092,Biological Process,type 2 immune response
Q6MZQ0,GO:0031932,Cellular Component,TORC2 complex
Q6MZQ0,GO:0031625,Molecular Function,ubiquitin protein ligase binding
Q6MZQ0,GO:0034599,Biological Process,cellular response to oxidative stress
Q6MZQ0,GO:0001933,Biological Process,negative regulation of protein phosphorylation
Q6MZQ0,GO:0009968,Biological Process,negative regulation of signal transduction
Q6MZQ0,GO:0043491,Biological Process,phosphatidylinositol 3-kinase/protein kinase B signal transduction
Q6MZQ0,GO:0090316,Biological Process,positive regulation of intracellular protein transport
Q6MZQ0,GO:0061014,Biological Process,positive regulation of mRNA catabolic process
Q6MZQ0,GO:0051897,Biological Process,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
Q6MZQ0,GO:0001934,Biological Process,positive regulation of protein phosphorylation
Q6MZQ0,GO:0010762,Biological Process,regulation of fibroblast migration
Q6MZQ0,GO:0038203,Biological Process,TORC2 signaling
Q8NC01,GO:0005886,Cellular Component,plasma membrane
Q8NC01,GO:0030246,Molecular Function,carbohydrate binding
Q8NC01,GO:0004888,Molecular Function,transmembrane signaling receptor activity
Q8NC01,GO:0007166,Biological Process,cell surface receptor signaling pathway
Q8NC01,GO:0007165,Biological Process,signal transduction
A0A023T408,GO:0004725,Molecular Function,protein tyrosine phosphatase activity
Q9UM82,GO:0005737,Cellular Component,cytoplasm
Q9UM82,GO:0005829,Cellular Component,cytosol
Q9UM82,GO:0001650,Cellular Component,fibrillar center
Q9UM82,GO:0005654,Cellular Component,nucleoplasm
Q9UM82,GO:0044877,Molecular Function,protein-containing complex binding
Q9UM82,GO:0030159,Molecular Function,signaling receptor complex adaptor activity
Q9UM82,GO:1990381,Molecular Function,ubiquitin-specific protease binding
Q9UM82,GO:0070266,Biological Process,necroptotic process
Q9UM82,GO:0070536,Biological Process,protein K63-linked deubiquitination
Q9UM82,GO:1990108,Biological Process,protein linear deubiquitination
Q9UM82,GO:0050727,Biological Process,regulation of inflammatory response
Q9UM82,GO:0060544,Biological Process,regulation of necroptotic process
Q9UM82,GO:0010803,Biological Process,regulation of tumor necrosis factor-mediated signaling pathway
Q9UM82,GO:0072520,Biological Process,seminiferous tubule development
Q9UM82,GO:0007283,Biological Process,spermatogenesis
Q9C0D7,GO:0036464,Cellular Component,cytoplasmic ribonucleoprotein granule
Q9C0D7,GO:0005634,Cellular Component,nucleus
Q9C0D7,GO:0046872,Molecular Function,metal ion binding
Q9C0D7,GO:0003729,Molecular Function,mRNA binding
Q9C0D7,GO:0004521,Molecular Function,RNA endonuclease activity
Q13555,GO:0005954,Cellular Component,calcium- and calmodulin-dependent protein kinase complex
Q13555,GO:0005737,Cellular Component,cytoplasm
Q13555,GO:0005829,Cellular Component,cytosol
Q13555,GO:0030666,Cellular Component,endocytic vesicle membrane
Q13555,GO:0016020,Cellular Component,membrane
Q13555,GO:0043005,Cellular Component,neuron projection
Q13555,GO:0005654,Cellular Component,nucleoplasm
Q13555,GO:0033017,Cellular Component,sarcoplasmic reticulum membrane
Q13555,GO:0005524,Molecular Function,ATP binding
Q13555,GO:0004723,Molecular Function,calcium-dependent protein serine/threonine phosphatase activity
Q13555,GO:0005516,Molecular Function,calmodulin binding
Q13555,GO:0004683,Molecular Function,calmodulin-dependent protein kinase activity
Q13555,GO:0042802,Molecular Function,identical protein binding
Q13555,GO:0042803,Molecular Function,protein homodimerization activity
Q13555,GO:0106310,Molecular Function,protein serine kinase activity
Q13555,GO:0030154,Biological Process,cell differentiation
Q13555,GO:0030073,Biological Process,insulin secretion
Q13555,GO:0007399,Biological Process,nervous system development
Q13555,GO:0051924,Biological Process,regulation of calcium ion transport
Q13555,GO:0010975,Biological Process,regulation of neuron projection development
Q13555,GO:0014733,Biological Process,regulation of skeletal muscle adaptation
Q9UHP7,GO:0009986,Cellular Component,cell surface
Q9UHP7,GO:0005783,Cellular Component,endoplasmic reticulum
Q9UHP7,GO:0009897,Cellular Component,external side of plasma membrane
Q9UHP7,GO:0016020,Cellular Component,membrane
Q9UHP7,GO:0005886,Cellular Component,plasma membrane
Q9UHP7,GO:0030246,Molecular Function,carbohydrate binding
Q9UHP7,GO:0004888,Molecular Function,transmembrane signaling receptor activity
Q9UHP7,GO:0007166,Biological Process,cell surface receptor signaling pathway
Q92556,GO:0005737,Cellular Component,cytoplasm
Q92556,GO:0005829,Cellular Component,cytosol
Q92556,GO:0032045,Cellular Component,guanyl-nucleotide exchange factor complex
Q92556,GO:0016020,Cellular Component,membrane
Q92556,GO:0005886,Cellular Component,plasma membrane
Q92556,GO:0017124,Molecular Function,SH3 domain binding
Q92556,GO:0030036,Biological Process,actin cytoskeleton organization
Q92556,GO:0007015,Biological Process,actin filament organization
Q92556,GO:0006915,Biological Process,apoptotic process
Q92556,GO:0048870,Biological Process,cell motility
Q92556,GO:0006911,Biological Process,"phagocytosis, engulfment"
Q92556,GO:0016601,Biological Process,Rac protein signal transduction
Q6P3S1,GO:0030136,Cellular Component,clathrin-coated vesicle
Q6P3S1,GO:0005829,Cellular Component,cytosol
Q6P3S1,GO:0043231,Cellular Component,intracellular membrane-bounded organelle
Q6P3S1,GO:0016607,Cellular Component,nuclear speck
Q6P3S1,GO:0005085,Molecular Function,guanyl-nucleotide exchange factor activity
Q6P3S1,GO:1901981,Molecular Function,phosphatidylinositol phosphate binding
Q6P3S1,GO:0031267,Molecular Function,small GTPase binding
Q6P3S1,GO:0032456,Biological Process,endocytic recycling
Q6P3S1,GO:0006897,Biological Process,endocytosis
Q6P3S1,GO:2000553,Biological Process,positive regulation of T-helper 2 cell cytokine production
Q6P3S1,GO:0015031,Biological Process,protein transport
Q6P3S1,GO:0050776,Biological Process,regulation of immune response
Q6P3S1,GO:0050852,Biological Process,T cell receptor signaling pathway
Q3MIT2,GO:0005737,Cellular Component,cytoplasm
Q3MIT2,GO:0005739,Cellular Component,mitochondrion
Q3MIT2,GO:0005634,Cellular Component,nucleus
Q3MIT2,GO:0046872,Molecular Function,metal ion binding
Q3MIT2,GO:0070878,Molecular Function,primary miRNA binding
Q3MIT2,GO:0009982,Molecular Function,pseudouridine synthase activity
Q3MIT2,GO:0106029,Molecular Function,tRNA pseudouridine synthase activity
Q3MIT2,GO:0160148,Molecular Function,tRNA pseudouridine(55) synthase activity
Q3MIT2,GO:0031053,Biological Process,primary miRNA processing
Q3MIT2,GO:0031119,Biological Process,tRNA pseudouridine synthesis
Q13761,GO:0000785,Cellular Component,chromatin
Q13761,GO:0016513,Cellular Component,core-binding factor complex
Q13761,GO:0005737,Cellular Component,cytoplasm
Q13761,GO:0005829,Cellular Component,cytosol
Q13761,GO:0043231,Cellular Component,intracellular membrane-bounded organelle
Q13761,GO:0005730,Cellular Component,nucleolus
Q13761,GO:0005654,Cellular Component,nucleoplasm
Q13761,GO:0005634,Cellular Component,nucleus
Q13761,GO:0005524,Molecular Function,ATP binding
Q13761,GO:0003700,Molecular Function,DNA-binding transcription factor activity
Q13761,GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q13761,GO:0000978,Molecular Function,RNA polymerase II cis-regulatory region sequence-specific DNA binding
Q13761,GO:0000977,Molecular Function,RNA polymerase II transcription regulatory region sequence-specific DNA binding
Q13761,GO:1990837,Molecular Function,sequence-specific double-stranded DNA binding
Q13761,GO:0001222,Molecular Function,transcription corepressor binding
Q13761,GO:0002062,Biological Process,chondrocyte differentiation
Q13761,GO:0030097,Biological Process,hemopoiesis
Q13761,GO:0043371,Biological Process,"negative regulation of CD4-positive, alpha-beta T cell differentiation"
Q13761,GO:0045786,Biological Process,negative regulation of cell cycle
Q13761,GO:0050680,Biological Process,negative regulation of epithelial cell proliferation
Q13761,GO:0000122,Biological Process,negative regulation of transcription by RNA polymerase II
Q13761,GO:0030182,Biological Process,neuron differentiation
Q13761,GO:0001503,Biological Process,ossification
Q13761,GO:0048935,Biological Process,peripheral nervous system neuron development
Q13761,GO:0043378,Biological Process,"positive regulation of CD8-positive, alpha-beta T cell differentiation"
Q13761,GO:0045893,Biological Process,positive regulation of DNA-templated transcription
Q13761,GO:0006468,Biological Process,protein phosphorylation
Q13761,GO:0045595,Biological Process,regulation of cell differentiation
Q13761,GO:0006355,Biological Process,regulation of DNA-templated transcription
Q13761,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
Q13761,GO:0071559,Biological Process,response to transforming growth factor beta
P29597,GO:0005737,Cellular Component,cytoplasm
P29597,GO:0009898,Cellular Component,cytoplasmic side of plasma membrane
P29597,GO:0005856,Cellular Component,cytoskeleton
P29597,GO:0005829,Cellular Component,cytosol
P29597,GO:0070062,Cellular Component,extracellular exosome
P29597,GO:0031234,Cellular Component,extrinsic component of cytoplasmic side of plasma membrane
P29597,GO:0019897,Cellular Component,extrinsic component of plasma membrane
P29597,GO:0042022,Cellular Component,interleukin-12 receptor complex
P29597,GO:0072536,Cellular Component,interleukin-23 receptor complex
P29597,GO:0005634,Cellular Component,nucleus
P29597,GO:0005886,Cellular Component,plasma membrane
P29597,GO:0005524,Molecular Function,ATP binding
P29597,GO:0005131,Molecular Function,growth hormone receptor binding
P29597,GO:0004715,Molecular Function,non-membrane spanning protein tyrosine kinase activity
P29597,GO:0004713,Molecular Function,protein tyrosine kinase activity
P29597,GO:0031702,Molecular Function,type 1 angiotensin receptor binding
P29597,GO:0030154,Biological Process,cell differentiation
P29597,GO:0007259,Biological Process,cell surface receptor signaling pathway via JAK-STAT
P29597,GO:0098586,Biological Process,cellular response to virus
P29597,GO:0019221,Biological Process,cytokine-mediated signaling pathway
P29597,GO:0060397,Biological Process,growth hormone receptor signaling pathway via JAK-STAT
P29597,GO:0006955,Biological Process,immune response
P29597,GO:0140105,Biological Process,interleukin-10-mediated signaling pathway
P29597,GO:0035722,Biological Process,interleukin-12-mediated signaling pathway
P29597,GO:0038155,Biological Process,interleukin-23-mediated signaling pathway
P29597,GO:0035556,Biological Process,intracellular signal transduction
P29597,GO:0032740,Biological Process,positive regulation of interleukin-17 production
P29597,GO:0032819,Biological Process,positive regulation of natural killer cell proliferation
P29597,GO:0051142,Biological Process,positive regulation of NK T cell proliferation
P29597,GO:1900182,Biological Process,positive regulation of protein localization to nucleus
P29597,GO:0046427,Biological Process,positive regulation of receptor signaling pathway via JAK-STAT
P29597,GO:0042102,Biological Process,positive regulation of T cell proliferation
P29597,GO:2000318,Biological Process,positive regulation of T-helper 17 type immune response
P29597,GO:0032729,Biological Process,positive regulation of type II interferon production
P29597,GO:0006468,Biological Process,protein phosphorylation
P29597,GO:0060337,Biological Process,type I interferon-mediated signaling pathway
P29597,GO:0060333,Biological Process,type II interferon-mediated signaling pathway
P29597,GO:0038196,Biological Process,type III interferon-mediated signaling pathway
P29460,GO:0005829,Cellular Component,cytosol
P29460,GO:0005788,Cellular Component,endoplasmic reticulum lumen
P29460,GO:0009897,Cellular Component,external side of plasma membrane
P29460,GO:0005576,Cellular Component,extracellular region
P29460,GO:0005615,Cellular Component,extracellular space
P29460,GO:0043514,Cellular Component,interleukin-12 complex
P29460,GO:0070743,Cellular Component,interleukin-23 complex
P29460,GO:0031906,Cellular Component,late endosome lumen
P29460,GO:0043235,Cellular Component,receptor complex
P29460,GO:0005125,Molecular Function,cytokine activity
P29460,GO:0019955,Molecular Function,cytokine binding
P29460,GO:0004896,Molecular Function,cytokine receptor activity
P29460,GO:0042802,Molecular Function,identical protein binding
P29460,GO:0042164,Molecular Function,interleukin-12 alpha subunit binding
P29460,GO:0005143,Molecular Function,interleukin-12 receptor binding
P29460,GO:0046982,Molecular Function,protein heterodimerization activity
P29460,GO:0044877,Molecular Function,protein-containing complex binding
P29460,GO:0016477,Biological Process,cell migration
P29460,GO:0007259,Biological Process,cell surface receptor signaling pathway via JAK-STAT
P29460,GO:0071222,Biological Process,cellular response to lipopolysaccharide
P29460,GO:0071346,Biological Process,cellular response to type II interferon
P29460,GO:0019221,Biological Process,cytokine-mediated signaling pathway
P29460,GO:0050829,Biological Process,defense response to Gram-negative bacterium
P29460,GO:0042832,Biological Process,defense response to protozoan
P29460,GO:0051607,Biological Process,defense response to virus
P29460,GO:0035722,Biological Process,interleukin-12-mediated signaling pathway
P29460,GO:0030101,Biological Process,natural killer cell activation
P29460,GO:0002323,Biological Process,natural killer cell activation involved in immune response
P29460,GO:1903588,Biological Process,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
P29460,GO:0002862,Biological Process,negative regulation of inflammatory response to antigenic stimulus
P29460,GO:0032693,Biological Process,negative regulation of interleukin-10 production
P29460,GO:0032700,Biological Process,negative regulation of interleukin-17 production
P29460,GO:0050709,Biological Process,negative regulation of protein secretion
P29460,GO:0048662,Biological Process,negative regulation of smooth muscle cell proliferation
P29460,GO:1900747,Biological Process,negative regulation of vascular endothelial growth factor signaling pathway
P29460,GO:0042104,Biological Process,positive regulation of activated T cell proliferation
P29460,GO:0045785,Biological Process,positive regulation of cell adhesion
P29460,GO:0002230,Biological Process,positive regulation of defense response to virus by host
P29460,GO:0032725,Biological Process,positive regulation of granulocyte macrophage colony-stimulating factor production
P29460,GO:0050729,Biological Process,positive regulation of inflammatory response
P29460,GO:0032733,Biological Process,positive regulation of interleukin-10 production
P29460,GO:0032735,Biological Process,positive regulation of interleukin-12 production
P29460,GO:0032740,Biological Process,positive regulation of interleukin-17 production
P29460,GO:0050671,Biological Process,positive regulation of lymphocyte proliferation
P29460,GO:0043382,Biological Process,positive regulation of memory T cell differentiation
P29460,GO:0032946,Biological Process,positive regulation of mononuclear cell proliferation
P29460,GO:0032816,Biological Process,positive regulation of natural killer cell activation
P29460,GO:0002860,Biological Process,positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
P29460,GO:0032819,Biological Process,positive regulation of natural killer cell proliferation
P29460,GO:0051135,Biological Process,positive regulation of NK T cell activation
P29460,GO:0051142,Biological Process,positive regulation of NK T cell proliferation
P29460,GO:1901224,Biological Process,positive regulation of non-canonical NF-kappaB signal transduction
P29460,GO:0045672,Biological Process,positive regulation of osteoclast differentiation
P29460,GO:0034393,Biological Process,positive regulation of smooth muscle cell apoptotic process
P29460,GO:0001916,Biological Process,positive regulation of T cell mediated cytotoxicity
P29460,GO:0042102,Biological Process,positive regulation of T cell proliferation
P29460,GO:0002827,Biological Process,positive regulation of T-helper 1 type immune response
P29460,GO:2000330,Biological Process,positive regulation of T-helper 17 cell lineage commitment
P29460,GO:2000318,Biological Process,positive regulation of T-helper 17 type immune response
P29460,GO:0034105,Biological Process,positive regulation of tissue remodeling
P29460,GO:0032760,Biological Process,positive regulation of tumor necrosis factor production
P29460,GO:0032729,Biological Process,positive regulation of type II interferon production
P29460,GO:0001817,Biological Process,regulation of cytokine production
P29460,GO:0010224,Biological Process,response to UV-B
P29460,GO:0019953,Biological Process,sexual reproduction
P29460,GO:0042098,Biological Process,T cell proliferation
P29460,GO:0042088,Biological Process,T-helper 1 type immune response
P29460,GO:0042093,Biological Process,T-helper cell differentiation
Q5VWK5,GO:0009986,Cellular Component,cell surface
Q5VWK5,GO:0009897,Cellular Component,external side of plasma membrane
Q5VWK5,GO:0072536,Cellular Component,interleukin-23 receptor complex
Q5VWK5,GO:0005886,Cellular Component,plasma membrane
Q5VWK5,GO:0043235,Cellular Component,receptor complex
Q5VWK5,GO:0019955,Molecular Function,cytokine binding
Q5VWK5,GO:0004896,Molecular Function,cytokine receptor activity
Q5VWK5,GO:0007259,Biological Process,cell surface receptor signaling pathway via JAK-STAT
Q5VWK5,GO:0019221,Biological Process,cytokine-mediated signaling pathway
Q5VWK5,GO:0050829,Biological Process,defense response to Gram-negative bacterium
Q5VWK5,GO:0006954,Biological Process,inflammatory response
Q5VWK5,GO:0038155,Biological Process,interleukin-23-mediated signaling pathway
Q5VWK5,GO:0032693,Biological Process,negative regulation of interleukin-10 production
Q5VWK5,GO:0042104,Biological Process,positive regulation of activated T cell proliferation
Q5VWK5,GO:0002230,Biological Process,positive regulation of defense response to virus by host
Q5VWK5,GO:0032725,Biological Process,positive regulation of granulocyte macrophage colony-stimulating factor production
Q5VWK5,GO:0032735,Biological Process,positive regulation of interleukin-12 production
Q5VWK5,GO:0032740,Biological Process,positive regulation of interleukin-17 production
Q5VWK5,GO:0043382,Biological Process,positive regulation of memory T cell differentiation
Q5VWK5,GO:0032819,Biological Process,positive regulation of natural killer cell proliferation
Q5VWK5,GO:0051135,Biological Process,positive regulation of NK T cell activation
Q5VWK5,GO:0045672,Biological Process,positive regulation of osteoclast differentiation
Q5VWK5,GO:0001916,Biological Process,positive regulation of T cell mediated cytotoxicity
Q5VWK5,GO:0042102,Biological Process,positive regulation of T cell proliferation
Q5VWK5,GO:0002827,Biological Process,positive regulation of T-helper 1 type immune response
Q5VWK5,GO:2000330,Biological Process,positive regulation of T-helper 17 cell lineage commitment
Q5VWK5,GO:2000318,Biological Process,positive regulation of T-helper 17 type immune response
Q5VWK5,GO:0032729,Biological Process,positive regulation of type II interferon production
Q5VWK5,GO:0042531,Biological Process,positive regulation of tyrosine phosphorylation of STAT protein
Q5VWK5,GO:0032496,Biological Process,response to lipopolysaccharide
Q5VWK5,GO:0034341,Biological Process,response to type II interferon
Q12907,GO:0009986,Cellular Component,cell surface
Q12907,GO:0030134,Cellular Component,COPII-coated ER to Golgi transport vesicle
Q12907,GO:0005789,Cellular Component,endoplasmic reticulum membrane
Q12907,GO:0005793,Cellular Component,endoplasmic reticulum-Golgi intermediate compartment
Q12907,GO:0033116,Cellular Component,endoplasmic reticulum-Golgi intermediate compartment membrane
Q12907,GO:0070062,Cellular Component,extracellular exosome
Q12907,GO:0005615,Cellular Component,extracellular space
Q12907,GO:0005794,Cellular Component,Golgi apparatus
Q12907,GO:0000139,Cellular Component,Golgi membrane
Q12907,GO:0005886,Cellular Component,plasma membrane
Q12907,GO:0030246,Molecular Function,carbohydrate binding
Q12907,GO:0005537,Molecular Function,D-mannose binding
Q12907,GO:0031072,Molecular Function,heat shock protein binding
Q12907,GO:0046872,Molecular Function,metal ion binding
Q12907,GO:0006888,Biological Process,endoplasmic reticulum to Golgi vesicle-mediated transport
Q12907,GO:0050766,Biological Process,positive regulation of phagocytosis
Q12907,GO:0015031,Biological Process,protein transport
Q12907,GO:0006890,Biological Process,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
Q9HCH3,GO:0070062,Cellular Component,extracellular exosome
Q9HCH3,GO:0043005,Cellular Component,neuron projection
Q9HCH3,GO:0043204,Cellular Component,perikaryon
Q9HCH3,GO:0005886,Cellular Component,plasma membrane
Q9HCH3,GO:0005544,Molecular Function,calcium-dependent phospholipid binding
Q9HCH3,GO:0046872,Molecular Function,metal ion binding
Q9HCH3,GO:0030154,Biological Process,cell differentiation
Q9HCH3,GO:0071277,Biological Process,cellular response to calcium ion
Q9HCH3,GO:1903861,Biological Process,positive regulation of dendrite extension
Q8NFZ5,GO:0005829,Cellular Component,cytosol
Q8NFZ5,GO:0005654,Cellular Component,nucleoplasm
Q8NFZ5,GO:0070530,Molecular Function,K63-linked polyubiquitin modification-dependent protein binding
Q8NFZ5,GO:0046872,Molecular Function,metal ion binding
Q8NFZ5,GO:0031593,Molecular Function,polyubiquitin modification-dependent protein binding
Q8NFZ5,GO:0019901,Molecular Function,protein kinase binding
Q8NFZ5,GO:0006915,Biological Process,apoptotic process
Q8NFZ5,GO:0023035,Biological Process,CD40 signaling pathway
Q8NFZ5,GO:0071222,Biological Process,cellular response to lipopolysaccharide
Q8NFZ5,GO:0006954,Biological Process,inflammatory response
Q8NFZ5,GO:0070498,Biological Process,interleukin-1-mediated signaling pathway
Q8NFZ5,GO:2000352,Biological Process,negative regulation of endothelial cell apoptotic process
Q8NFZ5,GO:0050871,Biological Process,positive regulation of B cell activation
Q8NFZ5,GO:0043123,Biological Process,positive regulation of canonical NF-kappaB signal transduction
Q8NFZ5,GO:0043032,Biological Process,positive regulation of macrophage activation
Q8NFZ5,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
Q8NFZ5,GO:0050821,Biological Process,protein stabilization
Q8NFZ5,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
Q8NFZ5,GO:0034134,Biological Process,toll-like receptor 2 signaling pathway
Q8NFZ5,GO:0034138,Biological Process,toll-like receptor 3 signaling pathway
Q8NFZ5,GO:0034162,Biological Process,toll-like receptor 9 signaling pathway
Q5VTH9,GO:0005858,Cellular Component,axonemal dynein complex
Q5VTH9,GO:0005930,Cellular Component,axoneme
Q5VTH9,GO:0120293,Cellular Component,dynein axonemal particle
Q5VTH9,GO:0031514,Cellular Component,motile cilium
Q5VTH9,GO:0045504,Molecular Function,dynein heavy chain binding
Q5VTH9,GO:0045503,Molecular Function,dynein light chain binding
Q5VTH9,GO:0070286,Biological Process,axonemal dynein complex assembly
Q5VTH9,GO:0003341,Biological Process,cilium movement
Q5VTH9,GO:0002244,Biological Process,hematopoietic progenitor cell differentiation
Q5VV42,GO:0005783,Cellular Component,endoplasmic reticulum
Q5VV42,GO:0005789,Cellular Component,endoplasmic reticulum membrane
Q5VV42,GO:0016020,Cellular Component,membrane
Q5VV42,GO:0005791,Cellular Component,rough endoplasmic reticulum
Q5VV42,GO:0051539,Molecular Function,"4 iron, 4 sulfur cluster binding"
Q5VV42,GO:0046872,Molecular Function,metal ion binding
Q5VV42,GO:0035598,Molecular Function,N6-threonylcarbomyladenosine methylthiotransferase activity
Q5VV42,GO:0061712,Molecular Function,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
