Protein ID,GO ID,Category,Description
Q5VV42,GO:1990145,Biological Process,maintenance of translational fidelity
Q5VV42,GO:0035600,Biological Process,tRNA methylthiolation
Q96E14,GO:0005829,Cellular Component,cytosol
Q96E14,GO:0016607,Cellular Component,nuclear speck
Q96E14,GO:0005654,Cellular Component,nucleoplasm
Q96E14,GO:0005634,Cellular Component,nucleus
Q96E14,GO:0031422,Cellular Component,RecQ family helicase-topoisomerase III complex
Q96E14,GO:0003677,Molecular Function,DNA binding
Q96E14,GO:0006281,Biological Process,DNA repair
Q96E14,GO:0006260,Biological Process,DNA replication
Q96E14,GO:0000724,Biological Process,double-strand break repair via homologous recombination
Q96E14,GO:0043007,Biological Process,maintenance of rDNA
Q96E14,GO:2000042,Biological Process,negative regulation of double-strand break repair via homologous recombination
Q96E14,GO:0033045,Biological Process,regulation of sister chromatid segregation
Q96E14,GO:0071139,Biological Process,resolution of DNA recombination intermediates
Q9UQQ2,GO:0005829,Cellular Component,cytosol
Q9UQQ2,GO:0005886,Cellular Component,plasma membrane
Q9UQQ2,GO:1990782,Molecular Function,protein tyrosine kinase binding
Q9UQQ2,GO:0030159,Molecular Function,signaling receptor complex adaptor activity
Q9UQQ2,GO:0005173,Molecular Function,stem cell factor receptor binding
Q9UQQ2,GO:0005068,Molecular Function,transmembrane receptor protein tyrosine kinase adaptor activity
Q9UQQ2,GO:1990869,Biological Process,cellular response to chemokine
Q9UQQ2,GO:0036016,Biological Process,cellular response to interleukin-3
Q9UQQ2,GO:0035162,Biological Process,embryonic hemopoiesis
Q9UQQ2,GO:0048821,Biological Process,erythrocyte development
Q9UQQ2,GO:0060218,Biological Process,hematopoietic stem cell differentiation
Q9UQQ2,GO:0035556,Biological Process,intracellular signal transduction
Q9UQQ2,GO:0035855,Biological Process,megakaryocyte development
Q9UQQ2,GO:0035702,Biological Process,monocyte homeostasis
Q9UQQ2,GO:0008285,Biological Process,negative regulation of cell population proliferation
Q9UQQ2,GO:0070100,Biological Process,negative regulation of chemokine-mediated signaling pathway
Q9UQQ2,GO:1900235,Biological Process,negative regulation of Kit signaling pathway
Q9UQQ2,GO:0043409,Biological Process,negative regulation of MAPK cascade
Q9UQQ2,GO:0051898,Biological Process,negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
Q9UQQ2,GO:0090331,Biological Process,negative regulation of platelet aggregation
Q9UQQ2,GO:0046426,Biological Process,negative regulation of receptor signaling pathway via JAK-STAT
Q9UQQ2,GO:1904893,Biological Process,negative regulation of receptor signaling pathway via STAT
Q9UQQ2,GO:0060761,Biological Process,negative regulation of response to cytokine stimulus
Q9UQQ2,GO:0001780,Biological Process,neutrophil homeostasis
Q9UQQ2,GO:0038163,Biological Process,thrombopoietin-mediated signaling pathway
Q15025,GO:0005829,Cellular Component,cytosol
Q15025,GO:0005654,Cellular Component,nucleoplasm
Q15025,GO:0042802,Molecular Function,identical protein binding
Q15025,GO:0051019,Molecular Function,mitogen-activated protein kinase binding
Q15025,GO:0071222,Biological Process,cellular response to lipopolysaccharide
Q15025,GO:0006952,Biological Process,defense response
Q15025,GO:0009101,Biological Process,glycoprotein biosynthetic process
Q15025,GO:0006954,Biological Process,inflammatory response
Q15025,GO:0007159,Biological Process,leukocyte cell-cell adhesion
Q15025,GO:0002755,Biological Process,MyD88-dependent toll-like receptor signaling pathway
Q15025,GO:0043124,Biological Process,negative regulation of canonical NF-kappaB signal transduction
Q15025,GO:0070373,Biological Process,negative regulation of ERK1 and ERK2 cascade
Q15025,GO:0045071,Biological Process,negative regulation of viral genome replication
Q15025,GO:0050729,Biological Process,positive regulation of inflammatory response
Q15025,GO:1903003,Biological Process,positive regulation of protein deubiquitination
Q15025,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
Q15025,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
Q15025,GO:0006412,Biological Process,translation
P35228,GO:0030863,Cellular Component,cortical cytoskeleton
P35228,GO:0005737,Cellular Component,cytoplasm
P35228,GO:0005829,Cellular Component,cytosol
P35228,GO:0005654,Cellular Component,nucleoplasm
P35228,GO:0005634,Cellular Component,nucleus
P35228,GO:0048471,Cellular Component,perinuclear region of cytoplasm
P35228,GO:0005782,Cellular Component,peroxisomal matrix
P35228,GO:0005777,Cellular Component,peroxisome
P35228,GO:0005886,Cellular Component,plasma membrane
P35228,GO:0034618,Molecular Function,arginine binding
P35228,GO:0005516,Molecular Function,calmodulin binding
P35228,GO:0050660,Molecular Function,flavin adenine dinucleotide binding
P35228,GO:0010181,Molecular Function,FMN binding
P35228,GO:0020037,Molecular Function,heme binding
P35228,GO:0046872,Molecular Function,metal ion binding
P35228,GO:0050661,Molecular Function,NADP binding
P35228,GO:0004517,Molecular Function,nitric-oxide synthase activity
P35228,GO:0042803,Molecular Function,protein homodimerization activity
P35228,GO:0034617,Molecular Function,tetrahydrobiopterin binding
P35228,GO:0006527,Biological Process,arginine catabolic process
P35228,GO:0045454,Biological Process,cell redox homeostasis
P35228,GO:0071222,Biological Process,cellular response to lipopolysaccharide
P35228,GO:0071346,Biological Process,cellular response to type II interferon
P35228,GO:0071466,Biological Process,cellular response to xenobiotic stimulus
P35228,GO:0007623,Biological Process,circadian rhythm
P35228,GO:0042742,Biological Process,defense response to bacterium
P35228,GO:0050829,Biological Process,defense response to Gram-negative bacterium
P35228,GO:0006954,Biological Process,inflammatory response
P35228,GO:0002227,Biological Process,innate immune response in mucosa
P35228,GO:0045776,Biological Process,negative regulation of blood pressure
P35228,GO:0010629,Biological Process,negative regulation of gene expression
P35228,GO:0042177,Biological Process,negative regulation of protein catabolic process
P35228,GO:0006809,Biological Process,nitric oxide biosynthetic process
P35228,GO:0007263,Biological Process,nitric oxide mediated signal transduction
P35228,GO:0018119,Biological Process,peptidyl-cysteine S-nitrosylation
P35228,GO:0032755,Biological Process,positive regulation of interleukin-6 production
P35228,GO:0032757,Biological Process,positive regulation of interleukin-8 production
P35228,GO:0051712,Biological Process,positive regulation of killing of cells of another organism
P35228,GO:0001912,Biological Process,positive regulation of leukocyte mediated cytotoxicity
P35228,GO:0032310,Biological Process,prostaglandin secretion
P35228,GO:0042127,Biological Process,regulation of cell population proliferation
P35228,GO:0043457,Biological Process,regulation of cellular respiration
P35228,GO:1900015,Biological Process,regulation of cytokine production involved in inflammatory response
P35228,GO:0050796,Biological Process,regulation of insulin secretion
P35228,GO:0009617,Biological Process,response to bacterium
P35228,GO:0009725,Biological Process,response to hormone
P35228,GO:0001666,Biological Process,response to hypoxia
P35228,GO:0032496,Biological Process,response to lipopolysaccharide
P35228,GO:0006801,Biological Process,superoxide metabolic process
Q9ULJ6,GO:0000785,Cellular Component,chromatin
Q9ULJ6,GO:0005737,Cellular Component,cytoplasm
Q9ULJ6,GO:0005829,Cellular Component,cytosol
Q9ULJ6,GO:0005654,Cellular Component,nucleoplasm
Q9ULJ6,GO:0005634,Cellular Component,nucleus
Q9ULJ6,GO:0030374,Molecular Function,nuclear receptor coactivator activity
Q9ULJ6,GO:0046332,Molecular Function,SMAD binding
Q9ULJ6,GO:0061665,Molecular Function,SUMO ligase activity
Q9ULJ6,GO:0003713,Molecular Function,transcription coactivator activity
Q9ULJ6,GO:0008270,Molecular Function,zinc ion binding
Q9ULJ6,GO:0030521,Biological Process,androgen receptor signaling pathway
Q9ULJ6,GO:0048844,Biological Process,artery morphogenesis
Q9ULJ6,GO:0090398,Biological Process,cellular senescence
Q9ULJ6,GO:0048589,Biological Process,developmental growth
Q9ULJ6,GO:0003007,Biological Process,heart morphogenesis
Q9ULJ6,GO:0001701,Biological Process,in utero embryonic development
Q9ULJ6,GO:0048146,Biological Process,positive regulation of fibroblast proliferation
Q9ULJ6,GO:0045747,Biological Process,positive regulation of Notch signaling pathway
Q9ULJ6,GO:0045582,Biological Process,positive regulation of T cell differentiation
Q9ULJ6,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
Q9ULJ6,GO:0016925,Biological Process,protein sumoylation
Q9ULJ6,GO:0021852,Biological Process,pyramidal neuron migration to cerebral cortex
Q9ULJ6,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
Q9ULJ6,GO:0060395,Biological Process,SMAD protein signal transduction
Q9ULJ6,GO:0007179,Biological Process,transforming growth factor beta receptor signaling pathway
Q9ULJ6,GO:0001570,Biological Process,vasculogenesis
Q9ULJ6,GO:0007296,Biological Process,vitellogenesis
P14921,GO:0000785,Cellular Component,chromatin
P14921,GO:0005737,Cellular Component,cytoplasm
P14921,GO:0005654,Cellular Component,nucleoplasm
P14921,GO:0005634,Cellular Component,nucleus
P14921,GO:0003677,Molecular Function,DNA binding
P14921,GO:0001228,Molecular Function,"DNA-binding transcription activator activity, RNA polymerase II-specific"
P14921,GO:0003700,Molecular Function,DNA-binding transcription factor activity
P14921,GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
P14921,GO:0042802,Molecular Function,identical protein binding
P14921,GO:0030374,Molecular Function,nuclear receptor coactivator activity
P14921,GO:0003676,Molecular Function,nucleic acid binding
P14921,GO:0000978,Molecular Function,RNA polymerase II cis-regulatory region sequence-specific DNA binding
P14921,GO:0061629,Molecular Function,RNA polymerase II-specific DNA-binding transcription factor binding
P14921,GO:0000976,Molecular Function,transcription cis-regulatory region binding
P14921,GO:0001222,Molecular Function,transcription corepressor binding
P14921,GO:0048870,Biological Process,cell motility
P14921,GO:0006955,Biological Process,immune response
P14921,GO:0045786,Biological Process,negative regulation of cell cycle
P14921,GO:0008285,Biological Process,negative regulation of cell population proliferation
P14921,GO:0030578,Biological Process,PML body organization
P14921,GO:0045766,Biological Process,positive regulation of angiogenesis
P14921,GO:0043536,Biological Process,positive regulation of blood vessel endothelial cell migration
P14921,GO:0045893,Biological Process,positive regulation of DNA-templated transcription
P14921,GO:0010595,Biological Process,positive regulation of endothelial cell migration
P14921,GO:0045648,Biological Process,positive regulation of erythrocyte differentiation
P14921,GO:0010628,Biological Process,positive regulation of gene expression
P14921,GO:0050729,Biological Process,positive regulation of inflammatory response
P14921,GO:1904996,Biological Process,positive regulation of leukocyte adhesion to vascular endothelial cell
P14921,GO:1902895,Biological Process,positive regulation of miRNA transcription
P14921,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
P14921,GO:0045765,Biological Process,regulation of angiogenesis
P14921,GO:0042981,Biological Process,regulation of apoptotic process
P14921,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
P14921,GO:0046677,Biological Process,response to antibiotic
P14921,GO:0006366,Biological Process,transcription by RNA polymerase II
P24394,GO:0034451,Cellular Component,centriolar satellite
P24394,GO:0009897,Cellular Component,external side of plasma membrane
P24394,GO:0005576,Cellular Component,extracellular region
P24394,GO:0005654,Cellular Component,nucleoplasm
P24394,GO:0005886,Cellular Component,plasma membrane
P24394,GO:0043235,Cellular Component,receptor complex
P24394,GO:0004896,Molecular Function,cytokine receptor activity
P24394,GO:0004913,Molecular Function,interleukin-4 receptor activity
P24394,GO:0019221,Biological Process,cytokine-mediated signaling pathway
P24394,GO:0042832,Biological Process,defense response to protozoan
P24394,GO:0006955,Biological Process,immune response
P24394,GO:0016064,Biological Process,immunoglobulin mediated immune response
P24394,GO:0035771,Biological Process,interleukin-4-mediated signaling pathway
P24394,GO:0045626,Biological Process,negative regulation of T-helper 1 cell differentiation
P24394,GO:0032722,Biological Process,positive regulation of chemokine production
P24394,GO:0120162,Biological Process,positive regulation of cold-induced thermogenesis
P24394,GO:0002639,Biological Process,positive regulation of immunoglobulin production
P24394,GO:0043032,Biological Process,positive regulation of macrophage activation
P24394,GO:0043306,Biological Process,positive regulation of mast cell degranulation
P24394,GO:1901741,Biological Process,positive regulation of myoblast fusion
P24394,GO:0045630,Biological Process,positive regulation of T-helper 2 cell differentiation
P24394,GO:0002532,Biological Process,production of molecular mediator involved in inflammatory response
P24394,GO:0007165,Biological Process,signal transduction
P24394,GO:0045063,Biological Process,T-helper 1 cell differentiation
P24394,GO:0045064,Biological Process,T-helper 2 cell differentiation
P35225,GO:0005737,Cellular Component,cytoplasm
P35225,GO:0009897,Cellular Component,external side of plasma membrane
P35225,GO:0005576,Cellular Component,extracellular region
P35225,GO:0005615,Cellular Component,extracellular space
P35225,GO:0005125,Molecular Function,cytokine activity
P35225,GO:0005144,Molecular Function,interleukin-13 receptor binding
P35225,GO:0071345,Biological Process,cellular response to cytokine stimulus
P35225,GO:0071260,Biological Process,cellular response to mechanical stimulus
P35225,GO:0006955,Biological Process,immune response
P35225,GO:0006954,Biological Process,inflammatory response
P35225,GO:0042116,Biological Process,macrophage activation
P35225,GO:0001774,Biological Process,microglial cell activation
P35225,GO:1903660,Biological Process,negative regulation of complement-dependent cytotoxicity
P35225,GO:2000352,Biological Process,negative regulation of endothelial cell apoptotic process
P35225,GO:0050728,Biological Process,negative regulation of inflammatory response
P35225,GO:1901247,Biological Process,negative regulation of lung ciliated cell differentiation
P35225,GO:0071635,Biological Process,negative regulation of transforming growth factor beta production
P35225,GO:0030890,Biological Process,positive regulation of B cell proliferation
P35225,GO:0120162,Biological Process,positive regulation of cold-induced thermogenesis
P35225,GO:0032723,Biological Process,positive regulation of connective tissue growth factor production
P35225,GO:0010628,Biological Process,positive regulation of gene expression
P35225,GO:0002639,Biological Process,positive regulation of immunoglobulin production
P35225,GO:0032733,Biological Process,positive regulation of interleukin-10 production
P35225,GO:1901251,Biological Process,positive regulation of lung goblet cell differentiation
P35225,GO:0043032,Biological Process,positive regulation of macrophage activation
P35225,GO:0043306,Biological Process,positive regulation of mast cell degranulation
P35225,GO:2000231,Biological Process,positive regulation of pancreatic stellate cell proliferation
P35225,GO:0050714,Biological Process,positive regulation of protein secretion
P35225,GO:0051281,Biological Process,positive regulation of release of sequestered calcium ion into cytosol
P35225,GO:0048661,Biological Process,positive regulation of smooth muscle cell proliferation
P35225,GO:0042531,Biological Process,positive regulation of tyrosine phosphorylation of STAT protein
P35225,GO:0010155,Biological Process,regulation of proton transport
P35225,GO:0045471,Biological Process,response to ethanol
P35225,GO:0032496,Biological Process,response to lipopolysaccharide
P35225,GO:0035094,Biological Process,response to nicotine
P36508,GO:0005634,Cellular Component,nucleus
P36508,GO:0001228,Molecular Function,"DNA-binding transcription activator activity, RNA polymerase II-specific"
P36508,GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
P36508,GO:0046872,Molecular Function,metal ion binding
P36508,GO:0000978,Molecular Function,RNA polymerase II cis-regulatory region sequence-specific DNA binding
P36508,GO:0043565,Molecular Function,sequence-specific DNA binding
P36508,GO:1990837,Molecular Function,sequence-specific double-stranded DNA binding
P36508,GO:0007417,Biological Process,central nervous system development
P36508,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
P36508,GO:0006357,Biological Process,regulation of transcription by RNA polymerase II
P36508,GO:0006359,Biological Process,regulation of transcription by RNA polymerase III
Q9BYX4,GO:0005737,Cellular Component,cytoplasm
Q9BYX4,GO:0005829,Cellular Component,cytosol
Q9BYX4,GO:0005739,Cellular Component,mitochondrion
Q9BYX4,GO:0005634,Cellular Component,nucleus
Q9BYX4,GO:0005524,Molecular Function,ATP binding
Q9BYX4,GO:0016887,Molecular Function,ATP hydrolysis activity
Q9BYX4,GO:0003677,Molecular Function,DNA binding
Q9BYX4,GO:0003725,Molecular Function,double-stranded RNA binding
Q9BYX4,GO:0042802,Molecular Function,identical protein binding
Q9BYX4,GO:0038187,Molecular Function,pattern recognition receptor activity
Q9BYX4,GO:0043021,Molecular Function,ribonucleoprotein complex binding
Q9BYX4,GO:0003723,Molecular Function,RNA binding
Q9BYX4,GO:0003724,Molecular Function,RNA helicase activity
Q9BYX4,GO:0003727,Molecular Function,single-stranded RNA binding
Q9BYX4,GO:0008270,Molecular Function,zinc ion binding
Q9BYX4,GO:0140374,Biological Process,antiviral innate immune response
Q9BYX4,GO:0071360,Biological Process,cellular response to exogenous dsRNA
Q9BYX4,GO:0098586,Biological Process,cellular response to virus
Q9BYX4,GO:0002753,Biological Process,cytoplasmic pattern recognition receptor signaling pathway
Q9BYX4,GO:0051607,Biological Process,defense response to virus
Q9BYX4,GO:0009597,Biological Process,detection of virus
Q9BYX4,GO:0045087,Biological Process,innate immune response
Q9BYX4,GO:0039530,Biological Process,MDA-5 signaling pathway
Q9BYX4,GO:0045071,Biological Process,negative regulation of viral genome replication
Q9BYX4,GO:0032727,Biological Process,positive regulation of interferon-alpha production
Q9BYX4,GO:0032728,Biological Process,positive regulation of interferon-beta production
Q9BYX4,GO:0032755,Biological Process,positive regulation of interleukin-6 production
Q9BYX4,GO:0060760,Biological Process,positive regulation of response to cytokine stimulus
Q9BYX4,GO:0032760,Biological Process,positive regulation of tumor necrosis factor production
Q9BYX4,GO:0051259,Biological Process,protein complex oligomerization
Q9BYX4,GO:0016925,Biological Process,protein sumoylation
Q9BYX4,GO:0034344,Biological Process,regulation of type III interferon production
Q9BYX4,GO:0009615,Biological Process,response to virus
Q9BYX4,GO:0060337,Biological Process,type I interferon-mediated signaling pathway
P25963,GO:0005737,Cellular Component,cytoplasm
P25963,GO:0005829,Cellular Component,cytosol
P25963,GO:0033256,Cellular Component,I-kappaB/NF-kappaB complex
P25963,GO:0005654,Cellular Component,nucleoplasm
P25963,GO:0005634,Cellular Component,nucleus
P25963,GO:0005886,Cellular Component,plasma membrane
P25963,GO:0019899,Molecular Function,enzyme binding
P25963,GO:0042802,Molecular Function,identical protein binding
P25963,GO:0140313,Molecular Function,molecular sequestering activity
P25963,GO:0051059,Molecular Function,NF-kappaB binding
P25963,GO:0008139,Molecular Function,nuclear localization sequence binding
P25963,GO:0140311,Molecular Function,protein sequestering activity
P25963,GO:0140416,Molecular Function,transcription regulator inhibitor activity
P25963,GO:0031625,Molecular Function,ubiquitin protein ligase binding
P25963,GO:0050853,Biological Process,B cell receptor signaling pathway
P25963,GO:0007249,Biological Process,canonical NF-kappaB signal transduction
P25963,GO:0070417,Biological Process,cellular response to cold
P25963,GO:0071356,Biological Process,cellular response to tumor necrosis factor
P25963,GO:0007253,Biological Process,cytoplasmic sequestering of NF-kappaB
P25963,GO:0070498,Biological Process,interleukin-1-mediated signaling pathway
P25963,GO:0031663,Biological Process,lipopolysaccharide-mediated signaling pathway
P25963,GO:0043124,Biological Process,negative regulation of canonical NF-kappaB signal transduction
P25963,GO:0010888,Biological Process,negative regulation of lipid storage
P25963,GO:0010745,Biological Process,negative regulation of macrophage derived foam cell differentiation
P25963,GO:0045638,Biological Process,negative regulation of myeloid cell differentiation
P25963,GO:0032088,Biological Process,negative regulation of NF-kappaB transcription factor activity
P25963,GO:0045746,Biological Process,negative regulation of Notch signaling pathway
P25963,GO:0038061,Biological Process,non-canonical NF-kappaB signal transduction
P25963,GO:0007219,Biological Process,Notch signaling pathway
P25963,GO:0070427,Biological Process,nucleotide-binding oligomerization domain containing 1 signaling pathway
P25963,GO:0070431,Biological Process,nucleotide-binding oligomerization domain containing 2 signaling pathway
P25963,GO:0010875,Biological Process,positive regulation of cholesterol efflux
P25963,GO:0050729,Biological Process,positive regulation of inflammatory response
P25963,GO:0051247,Biological Process,positive regulation of protein metabolic process
P25963,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
P25963,GO:0060261,Biological Process,positive regulation of transcription initiation by RNA polymerase II
P25963,GO:0006606,Biological Process,protein import into nucleus
P25963,GO:0042127,Biological Process,regulation of cell population proliferation
P25963,GO:0043330,Biological Process,response to exogenous dsRNA
P25963,GO:0032495,Biological Process,response to muramyl dipeptide
P25963,GO:0035994,Biological Process,response to muscle stretch
P25963,GO:0034142,Biological Process,toll-like receptor 4 signaling pathway
P25963,GO:0033209,Biological Process,tumor necrosis factor-mediated signaling pathway
Q9NPF7,GO:0005788,Cellular Component,endoplasmic reticulum lumen
Q9NPF7,GO:0005576,Cellular Component,extracellular region
Q9NPF7,GO:0070743,Cellular Component,interleukin-23 complex
Q9NPF7,GO:0005125,Molecular Function,cytokine activity
Q9NPF7,GO:0045519,Molecular Function,interleukin-23 receptor binding
Q9NPF7,GO:0007259,Biological Process,cell surface receptor signaling pathway via JAK-STAT
Q9NPF7,GO:0050829,Biological Process,defense response to Gram-negative bacterium
Q9NPF7,GO:0051607,Biological Process,defense response to virus
Q9NPF7,GO:0006954,Biological Process,inflammatory response
Q9NPF7,GO:0045087,Biological Process,innate immune response
Q9NPF7,GO:0032693,Biological Process,negative regulation of interleukin-10 production
Q9NPF7,GO:0042104,Biological Process,positive regulation of activated T cell proliferation
Q9NPF7,GO:0002230,Biological Process,positive regulation of defense response to virus by host
Q9NPF7,GO:0032725,Biological Process,positive regulation of granulocyte macrophage colony-stimulating factor production
Q9NPF7,GO:0050729,Biological Process,positive regulation of inflammatory response
Q9NPF7,GO:0032733,Biological Process,positive regulation of interleukin-10 production
Q9NPF7,GO:0032735,Biological Process,positive regulation of interleukin-12 production
Q9NPF7,GO:0032740,Biological Process,positive regulation of interleukin-17 production
Q9NPF7,GO:0043382,Biological Process,positive regulation of memory T cell differentiation
Q9NPF7,GO:0032816,Biological Process,positive regulation of natural killer cell activation
Q9NPF7,GO:0032819,Biological Process,positive regulation of natural killer cell proliferation
Q9NPF7,GO:0090023,Biological Process,positive regulation of neutrophil chemotaxis
Q9NPF7,GO:0051135,Biological Process,positive regulation of NK T cell activation
Q9NPF7,GO:0051142,Biological Process,positive regulation of NK T cell proliferation
Q9NPF7,GO:1901224,Biological Process,positive regulation of non-canonical NF-kappaB signal transduction
Q9NPF7,GO:0045672,Biological Process,positive regulation of osteoclast differentiation
Q9NPF7,GO:0001916,Biological Process,positive regulation of T cell mediated cytotoxicity
Q9NPF7,GO:0042102,Biological Process,positive regulation of T cell proliferation
Q9NPF7,GO:0002827,Biological Process,positive regulation of T-helper 1 type immune response
Q9NPF7,GO:2000330,Biological Process,positive regulation of T-helper 17 cell lineage commitment
Q9NPF7,GO:2000318,Biological Process,positive regulation of T-helper 17 type immune response
Q9NPF7,GO:0034105,Biological Process,positive regulation of tissue remodeling
Q9NPF7,GO:0045944,Biological Process,positive regulation of transcription by RNA polymerase II
Q9NPF7,GO:0032760,Biological Process,positive regulation of tumor necrosis factor production
Q9NPF7,GO:0032729,Biological Process,positive regulation of type II interferon production
Q9NPF7,GO:0042531,Biological Process,positive regulation of tyrosine phosphorylation of STAT protein
Q9NPF7,GO:0042098,Biological Process,T cell proliferation
Q9NPF7,GO:0048771,Biological Process,tissue remodeling
O15417,GO:0005829,Cellular Component,cytosol
O15417,GO:0005739,Cellular Component,mitochondrion
O15417,GO:0031965,Cellular Component,nuclear membrane
O15417,GO:0005654,Cellular Component,nucleoplasm
O15417,GO:0003682,Molecular Function,chromatin binding
Q8IU57,GO:0032002,Cellular Component,interleukin-28 receptor complex
Q8IU57,GO:0016020,Cellular Component,membrane
Q8IU57,GO:0005886,Cellular Component,plasma membrane
Q8IU57,GO:0004896,Molecular Function,cytokine receptor activity
Q8IU57,GO:0098586,Biological Process,cellular response to virus
Q8IU57,GO:0019221,Biological Process,cytokine-mediated signaling pathway
Q8IU57,GO:0051607,Biological Process,defense response to virus
Q8IU57,GO:0002385,Biological Process,mucosal immune response
Q8IU57,GO:0008285,Biological Process,negative regulation of cell population proliferation
Q8IU57,GO:1901857,Biological Process,positive regulation of cellular respiration
Q8IU57,GO:0050691,Biological Process,regulation of defense response to virus by host
Q8IU57,GO:0034342,Biological Process,response to type III interferon
Q8IU57,GO:0038196,Biological Process,type III interferon-mediated signaling pathway
